Coste,Tiempo
4380,0.02473282814025879
30350,0.0265958309173584
7176,0.03369617462158203
6968,0.05065464973449707
168,0.09936690330505371
124,0.9316787719726562
66,6.316604137420654
97480,0.09882855415344238
367023,2.263425827026367
16722,0.22491693496704102
53236,0.37378740310668945
94996,1.6617279052734375
121986,2.3805577754974365
155266,3.237917184829712
1873100,0.9186685085296631
13997714,2.8005590438842773
21978566,3.3341848850250244
527607081,11.497544527053833
45057844,60.025880098342896
8572002,11.322738409042358
