Coste,Tiempo,Desviacion
8100,0.00017595291137695312,269.5255474452554
78718,0.00017023086547851562,456.62565408004525
11942,0.0001895427703857422,92.7994833710042
17556,0.00022983551025390625,362.4868282402529
342,0.00032782554626464844,163.07692307692307
148,0.000993967056274414,27.586206896551722
142,0.0030531883239746094,121.875
117130,0.00019049644470214844,32.05186020293123
371248,0.0010592937469482422,2.944291933560713
18902,0.00029969215393066406,19.542119908929926
60176,0.0003857612609863281,157.31634311126314
105828,0.0009305477142333984,16.297061473878546
131450,0.0011317729949951172,13.776031298146
170472,0.001371145248413086,14.383102069298692
5893540,0.0005388259887695312,217.55218952459364
15638632,0.00091552734375,15.848720930094737
23926646,0.001373291015625,13.652462376616592
621314634,0.0029935836791992188,24.53774598759928
98685678,0.007300615310668945,120.48086370620592
9527466,0.0029850006103515625,17.140044050469434
